Price;Host Total Listings Count;Accommodates;Bathrooms;Bedrooms;Beds;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 90;Availability 365;Room_type_Private room;Room_type_Shared room;Bed_type_Airbed;Bed_type_Couch;Bed_type_Futon;Bed_type_Pull-out Sofa;Bed_type_Real Bed
42.0;4.0;4;1.0;1.0;2.0;2;9;6;1000;6;172;0;0;0;0;0;0;1
85.0;1.0;4;1.0;1.0;1.0;2;20;2;1125;12;256;0;0;0;0;0;0;1
55.0;7.0;4;1.0;1.0;2.0;2;0;1;1825;32;295;0;0;0;0;0;0;1
147.0;1.0;1;1.0;1.0;1.0;1;0;1;730;90;365;1;0;0;0;0;0;1
34.0;2.0;2;1.0;1.0;1.0;1;20;3;365;39;306;1;0;0;0;0;0;1
90.0;2.0;8;2.0;4.0;8.0;1;0;7;1125;11;64;0;0;0;0;0;0;1
120.0;2.0;4;1.0;2.0;2.0;4;20;7;28;67;342;0;0;0;0;0;0;1
34.0;1.0;2;1.0;1.0;1.0;1;15;1;9;79;354;1;0;0;0;0;0;1
124.0;2.0;4;2.0;2.0;2.0;2;19;3;30;7;93;0;0;0;0;0;0;1
80.0;4.0;4;1.0;2.0;2.0;2;15;1;1125;1;272;0;0;0;0;0;0;1
170.0;4.0;6;3.0;3.0;3.0;1;0;2;1125;87;362;0;0;0;0;0;0;1
43.0;1.0;4;1.0;1.0;2.0;2;10;2;1125;43;43;0;0;0;0;0;0;1
60.0;164.0;2;1.0;0.0;1.0;1;5;2;1125;65;340;0;0;0;0;0;0;1
92.0;10.0;5;1.0;1.0;3.0;1;0;1;25;52;327;0;0;0;0;0;0;1
150.0;147.0;6;2.0;3.0;4.0;1;0;5;1125;83;304;0;0;0;0;0;0;1
29.0;6.0;4;1.0;1.0;3.0;2;10;2;1125;7;97;0;0;0;0;0;0;1
80.0;1.0;2;1.0;1.0;1.0;1;0;3;7;77;352;0;0;0;0;0;0;1
50.0;1.0;2;1.0;1.0;1.0;1;0;2;1125;32;306;0;0;0;0;0;0;1
60.0;2.0;2;1.0;1.0;1.0;1;0;3;365;36;303;0;0;0;0;0;0;1
20.0;3.0;2;1.5;1.0;1.0;1;7;2;1125;47;47;1;0;0;0;0;0;1
60.0;1.0;3;1.0;2.0;2.0;1;0;1;1125;36;298;0;0;0;0;0;0;1
22.0;2.0;1;1.0;1.0;1.0;1;5;2;1125;72;162;1;0;0;0;0;0;1
80.0;1.0;3;1.0;1.0;2.0;1;0;4;1125;4;101;0;0;0;0;0;0;1
129.0;207.0;4;1.0;1.0;1.0;3;10;2;1125;57;330;0;0;0;0;0;0;1
85.0;3.0;2;1.0;0.0;1.0;1;0;3;6;51;51;0;0;0;0;0;0;1
130.0;8.0;4;1.0;1.0;2.0;2;20;3;1125;90;365;0;0;0;0;0;0;1
